,f1-score,precision,recall,support
0,0.5739130434782609,0.4125,0.9428571428571428,35.0
1,0.07692307692307693,1.0,0.04,25.0
2,0.2926829268292683,0.6,0.1935483870967742,31.0
macro avg,0.3145063490768687,0.6708333333333334,0.3921351766513057,91.0
micro avg,0.43956043956043955,0.43956043956043955,0.43956043956043955,91.0
weighted avg,0.34157367226948765,0.6377747252747252,0.43956043956043955,91.0
