,f1-score,precision,recall,support,accuracy
capital,0.7312855874209894,0.7226782303443291,0.7401004493787999,18915.0,0.7039594843462247
interior,0.6704465372541483,0.6803848904492555,0.6607943423628212,15837.0,0.7039594843462247
micro avg,0.7039594843462247,0.7039594843462247,0.7039594843462247,34752.0,0.7039594843462247
macro avg,0.7008660623375689,0.7015315603967923,0.7004473958708106,34752.0,0.7039594843462247
weighted avg,0.7035603331193013,0.7034045303006401,0.7039594843462247,34752.0,0.7039594843462247
