,f1-score,precision,recall,support,accuracy
no,0.7215332581736189,0.6438631790744467,0.8205128205128205,390.0,0.6833333333333333
yes,0.6329866270430906,0.7526501766784452,0.5461538461538461,390.0,0.6833333333333333
micro avg,0.6833333333333333,0.6833333333333333,0.6833333333333333,780.0,0.6833333333333333
macro avg,0.6772599426083548,0.698256677876446,0.6833333333333333,780.0,0.6833333333333333
weighted avg,0.6772599426083548,0.6982566778764461,0.6833333333333333,780.0,0.6833333333333333
