,f1-score,precision,recall,support,accuracy
10s,0.6675753961492588,0.760186263096624,0.5950789793438639,6584.0,0.5922438234102876
20s,0.5070339544818443,0.4922064922064922,0.522782503037667,6584.0,0.5922438234102876
30s,0.6114595813658468,0.570414201183432,0.6588699878493317,6584.0,0.5922438234102876
macro avg,0.59535631066565,0.6076023188288494,0.5922438234102875,19752.0,0.5922438234102876
micro avg,0.5922438234102876,0.5922438234102876,0.5922438234102876,19752.0,0.5922438234102876
weighted avg,0.59535631066565,0.6076023188288494,0.5922438234102876,19752.0,0.5922438234102876
