,f1-score,precision,recall,support,accuracy
F,0.064,0.4444444444444444,0.034482758620689655,116.0,0.661849710982659
M,0.7936507936507936,0.6676557863501483,0.9782608695652174,230.0,0.661849710982659
macro avg,0.4288253968253968,0.5560501153972963,0.5063718140929535,346.0,0.661849710982659
micro avg,0.661849710982659,0.661849710982659,0.661849710982659,346.0,0.661849710982659
weighted avg,0.5490279842187357,0.5928219260580626,0.661849710982659,346.0,0.661849710982659
