,f1-score,precision,recall,support,accuracy
female,0.4859675036927622,0.7427977964417953,0.3611098915572727,22777.0,0.6180357378056812
macro avg,0.5910399186702311,0.6603841364680483,0.6180357378056811,45554.0,0.6180357378056812
male,0.6961123336476999,0.5779704764943012,0.8749615840540896,22777.0,0.6180357378056812
micro avg,0.6180357378056812,0.6180357378056812,0.6180357378056812,45554.0,0.6180357378056812
weighted avg,0.591039918670231,0.6603841364680483,0.6180357378056812,45554.0,0.6180357378056812
