,f1-score,precision,recall,support,accuracy
a10-25,0.5139500734214391,0.36706869428421607,0.8567931456548348,817.0,0.39249286005711953
a26-40,0.1418293936279548,0.4423076923076923,0.08445532435740515,817.0,0.39249286005711953
a40+,0.32033195020746885,0.49742268041237114,0.23623011015911874,817.0,0.39249286005711953
macro avg,0.3253704724189542,0.4355996890014265,0.39249286005711953,2451.0,0.39249286005711953
micro avg,0.39249286005711953,0.39249286005711953,0.39249286005711953,2451.0,0.39249286005711953
weighted avg,0.3253704724189542,0.4355996890014265,0.39249286005711953,2451.0,0.39249286005711953
