,f1-score,precision,recall,support,accuracy
a0-23,0.3551401869158879,0.4367816091954023,0.2992125984251969,127.0,0.4146981627296588
a24-30,0.3018867924528302,0.3764705882352941,0.25196850393700787,127.0,0.4146981627296588
a31-99,0.5238095238095237,0.42105263157894735,0.6929133858267716,127.0,0.4146981627296588
macro avg,0.3936121677260806,0.41143494300321465,0.4146981627296588,381.0,0.4146981627296588
micro avg,0.4146981627296588,0.4146981627296588,0.4146981627296588,381.0,0.4146981627296588
weighted avg,0.3936121677260806,0.4114349430032146,0.4146981627296588,381.0,0.4146981627296588
