,f1-score,precision,recall,support,accuracy
a10-25,0.4039999999999999,0.44363103953147875,0.3708690330477356,817.0,0.42268461852305184
a26-40,0.4095860566448801,0.3689892051030422,0.4602203182374541,817.0,0.42268461852305184
a40+,0.4559386973180076,0.4766355140186916,0.4369645042839657,817.0,0.42268461852305184
macro avg,0.42317491798762924,0.42975191955107084,0.4226846185230518,2451.0,0.42268461852305184
micro avg,0.42268461852305184,0.42268461852305184,0.42268461852305184,2451.0,0.42268461852305184
weighted avg,0.42317491798762924,0.42975191955107084,0.42268461852305184,2451.0,0.42268461852305184
