,f1-score,precision,recall,support,roc,accuracy
N,0.4180790960451977,0.5285714285714286,0.34579439252336447,107.0,0.330532453056675,0.683076923076923
S,0.7822410147991543,0.7254901960784313,0.8486238532110092,218.0,0.669467546943325,0.683076923076923
micro avg,0.683076923076923,0.683076923076923,0.683076923076923,325.0,0.5049408385492583,0.683076923076923
macro avg,0.600160055422176,0.62703081232493,0.5972091228671869,325.0,0.5049408385492583,0.683076923076923
weighted avg,0.6623477061632363,0.6606584787761258,0.683076923076923,325.0,0.5049408385492583,0.683076923076923
