v,tunning,n,dataset,task,params,acc,f1,cm,embeddings,lang,loss,val_loss
_grid,kernel,0.0,b5post,gender,"{'features_maps': [10, 10], 'kernel_size': [1, 2], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 2025, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 3}",0.7542955326460481,0.7463511268914862,"[[168 123]
 [ 20 271]]",nilc-fasttext-100dim,pt,0.5340740382254345,0.5368995898004089
_grid,kernel,0.0,b5post,age,"{'features_maps': [10, 10], 'kernel_size': [1, 2], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 2025, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 3}",0.4591611479028698,0.4482821230572756,"[[101  39  11]
 [ 72  62  17]
 [ 69  37  45]]",nilc-fasttext-100dim,pt,1.0906141879644218,1.0576796616826738
_grid,kernel,0.0,b5post,age,"{'features_maps': [10, 10], 'kernel_size': [1, 2], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 1957, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 3}",0.4216335540838852,0.4191137927592323,"[[78 38 35]
 [57 58 36]
 [49 47 55]]",nilc-fasttext-100dim,pt,0.8954853725861618,0.9824323288741564
_grid,kernel,0.0,b5post,age,"{'features_maps': [10, 10], 'kernel_size': [3, 4], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 1957, 'max_num_words': 1000, 'dense_units': [128], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 3}",0.4966887417218543,0.4950904541665493,"[[72 46 33]
 [47 64 40]
 [36 26 89]]",nilc-fasttext-100dim,pt,0.9672131654486728,1.160859553586869
_grid,kernel,1.0,b5post,age,"{'features_maps': [10, 10], 'kernel_size': [3, 4], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 1957, 'max_num_words': 1000, 'dense_units': [128], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 3}",0.4790286975717439,0.4770336623751697,"[[84 37 30]
 [58 57 36]
 [52 23 76]]",nilc-fasttext-100dim,pt,0.8382884211124735,1.04290357090178
_grid,kernel,2.0,b5post,age,"{'features_maps': [10, 10], 'kernel_size': [3, 4], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 1957, 'max_num_words': 1000, 'dense_units': [128], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 3}",0.5011037527593819,0.4984376623093885,"[[58 56 37]
 [25 89 37]
 [17 54 80]]",nilc-fasttext-100dim,pt,0.9119127665956815,1.1621353058587935
_grid,3 channels,0.0,b5post,age,"{'features_maps': [10, 10, 10], 'kernel_size': [3, 4, 5], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 1957, 'max_num_words': 1000, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'n_classes': 3}",0.4172185430463576,0.4120841526935613,"[[89 49 13]
 [82 54 15]
 [66 39 46]]",nilc-fasttext-100dim,pt,1.0195894181457357,1.2157831411986124
_grid,3 channels,0.0,b5post,religion,"{'features_maps': [10, 10, 10], 'kernel_size': [3, 4, 5], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 1957, 'max_num_words': 1000, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'n_classes': 3}",0.5485714285714286,0.524593473206575,"[[141  13  21]
 [ 49  46  80]
 [ 44  30 101]]",nilc-fasttext-100dim,pt,0.9793867676252264,1.244545578956604
_grid,3 channels,0.0,b5post,age,"{'features_maps': [10, 10, 10], 'kernel_size': [3, 4, 5], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 1957, 'max_num_words': 1000, 'dense_units': [128], 'optimizer': None, 'pool_size': [10, 10, 10], 'n_classes': 3}",0.5364238410596026,0.5324076754470609,"[[ 72  42  37]
 [ 41  69  41]
 [ 23  26 102]]",nilc-fasttext-100dim,pt,0.9110898723924794,1.156225899500506
_grid,3 channels,0.0,b5post,religion,"{'features_maps': [10, 10, 10], 'kernel_size': [3, 4, 5], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 1957, 'max_num_words': 1000, 'dense_units': [128], 'optimizer': None, 'pool_size': [10, 10, 10], 'n_classes': 3}",0.5371428571428571,0.5162727911127206,"[[149  11  15]
 [ 62  69  44]
 [ 57  54  64]]",nilc-fasttext-100dim,pt,0.8479154864704705,1.1688469714588592
_grid,3 channels,0.0,b5post,age,"{'features_maps': [10, 10, 10], 'kernel_size': [3, 4, 5], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 1957, 'max_num_words': 1000, 'dense_units': [128], 'optimizer': None, 'pool_size': [1, 1, 1], 'n_classes': 3}",0.5562913907284768,0.5538961760390723,"[[ 74  43  34]
 [ 37  77  37]
 [ 21  29 101]]",nilc-fasttext-100dim,pt,0.9514749880347932,1.1671477272396995
_grid,3 channels,0.0,b5post,religion,"{'features_maps': [10, 10, 10], 'kernel_size': [3, 4, 5], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 1957, 'max_num_words': 1000, 'dense_units': [128], 'optimizer': None, 'pool_size': [1, 1, 1], 'n_classes': 3}",0.4685714285714286,0.47040202595758157,"[[ 78  66  31]
 [ 25 100  50]
 [ 19  88  68]]",nilc-fasttext-100dim,pt,0.921378162467895,0.7787198854817285
