,f1-score,precision,recall,support,accuracy
female,0.8840125391849529,0.8597560975609756,0.9096774193548387,465.0,0.8806451612903226
male,0.8770764119601328,0.9041095890410958,0.8516129032258064,465.0,0.8806451612903226
micro avg,0.8806451612903226,0.8806451612903226,0.8806451612903226,930.0,0.8806451612903226
macro avg,0.8805444755725429,0.8819328433010357,0.8806451612903226,930.0,0.8806451612903226
weighted avg,0.8805444755725429,0.8819328433010356,0.8806451612903226,930.0,0.8806451612903226
