,f1-score,precision,recall,support,accuracy
no,0.7089201877934272,0.6536796536796536,0.7743589743589744,390.0,0.6820512820512821
yes,0.6497175141242938,0.7232704402515723,0.5897435897435898,390.0,0.6820512820512821
micro avg,0.6820512820512821,0.6820512820512821,0.6820512820512821,780.0,0.6820512820512821
macro avg,0.6793188509588606,0.6884750469656129,0.6820512820512821,780.0,0.6820512820512821
weighted avg,0.6793188509588606,0.688475046965613,0.6820512820512821,780.0,0.6820512820512821
