,f1-score,precision,recall,support,accuracy
Básico,0.3813953488372093,0.44565217391304346,0.3333333333333333,246.0,0.38902147971360385
Pós-graduado,0.48702101359703337,0.45496535796766746,0.523936170212766,376.0,0.38902147971360385
Superior Completo,0.3515923566878981,0.33658536585365856,0.368,375.0,0.38902147971360385
Superior Incompleto,0.29387755102040813,0.3130434782608696,0.27692307692307694,260.0,0.38902147971360385
micro avg,0.38902147971360385,0.38902147971360385,0.38902147971360385,1257.0,0.38902147971360385
macro avg,0.37847156753563727,0.38756159399880974,0.37554814511729406,1257.0,0.38902147971360385
weighted avg,0.38599717895760216,0.38847114234001573,0.38902147971360385,1257.0,0.38902147971360385
