,f1-score,precision,recall,support,accuracy
r0,0.17486338797814208,0.41025641025641024,0.1111111111111111,144.0,0.3449074074074074
r12,0.0,0.0,0.0,144.0,0.3449074074074074
r34,0.4953445065176909,0.3384223918575064,0.9236111111111112,144.0,0.3449074074074074
micro avg,0.3449074074074074,0.3449074074074074,0.3449074074074074,432.0,0.3449074074074074
macro avg,0.22340263149861098,0.24955960070463887,0.34490740740740744,432.0,0.3449074074074074
weighted avg,0.223402631498611,0.24955960070463887,0.3449074074074074,432.0,0.3449074074074074
