,f1-score,precision,recall,support,roc,accuracy
a10-25,0.19742489270386265,0.3988439306358382,0.1311787072243346,526.0,0.5980860220312252,0.4344065353195579
a26-40,0.5193113075849232,0.4189189189189189,0.6829865361077111,817.0,0.5598307523666393,0.4344065353195579
a40+,0.4216133942161339,0.4809027777777778,0.37533875338753386,738.0,0.6262387326032605,0.4344065353195579
micro avg,0.4344065353195579,0.4344065353195579,0.4344065353195579,2081.0,0.5950605184167684,0.4344065353195579
macro avg,0.3794498648349733,0.43288854244417835,0.39650133223985984,2081.0,0.5950605184167684,0.4344065353195579
weighted avg,0.40330298740539205,0.435826484512834,0.4344065353195579,2081.0,0.5950605184167684,0.4344065353195579
