,f1-score,precision,recall,support,accuracy
macro avg,0.3556973961968551,0.3631562454786505,0.3587962962962963,432.0,0.3587962962962963
micro avg,0.3587962962962962,0.3587962962962963,0.3587962962962963,432.0,0.3587962962962963
r0,0.34146341463414637,0.4117647058823529,0.2916666666666667,144.0,0.3587962962962963
r12,0.30716723549488056,0.30201342281879195,0.3125,144.0,0.3587962962962963
r34,0.41846153846153844,0.3756906077348066,0.4722222222222222,144.0,0.3587962962962963
weighted avg,0.35569739619685514,0.3631562454786505,0.3587962962962963,432.0,0.3587962962962963
