,f1-score,precision,recall,support,accuracy
CO,0.20981470669575641,0.28230040931078676,0.1669478471356268,40899.0,0.37701166287684296
N,0.3994488994488995,0.3014331428286828,0.5919215628743979,40899.0,0.37701166287684296
NE,0.2593614273975819,0.3242945730745239,0.21609330301474364,40899.0,0.37701166287684296
S,0.1161701889537595,0.24496538703587162,0.0761387808992885,40899.0,0.37701166287684296
SE,0.6758810649070138,0.5681825753789772,0.833956820460158,40899.0,0.37701166287684296
macro avg,0.33213525748060224,0.34423521752576847,0.37701166287684296,204495.0,0.37701166287684296
micro avg,0.37701166287684296,0.37701166287684296,0.37701166287684296,204495.0,0.37701166287684296
weighted avg,0.33213525748060224,0.3442352175257685,0.37701166287684296,204495.0,0.37701166287684296
