,f1-score,precision,recall,support,accuracy
Básico,0.42463533225283623,0.30536130536130535,0.6968085106382979,376.0,0.31316489361702127
Pós-graduado,0.385809312638581,0.33079847908745247,0.4627659574468085,376.0,0.31316489361702127
Superior Completo,0.005291005291005292,0.5,0.0026595744680851063,376.0,0.31316489361702127
Superior Incompleto,0.13765182186234817,0.288135593220339,0.09042553191489362,376.0,0.31316489361702127
micro avg,0.31316489361702127,0.31316489361702127,0.31316489361702127,1504.0,0.31316489361702127
macro avg,0.23834686801119268,0.3560738444172742,0.31316489361702127,1504.0,0.31316489361702127
weighted avg,0.23834686801119268,0.3560738444172742,0.31316489361702127,1504.0,0.31316489361702127
