,f1-score,precision,recall,support,accuracy
10s,0.7401523210742722,0.7281893048825536,0.7525149700598802,133600.0,0.6397779441117765
20s,0.42878620827904174,0.5478613174377721,0.35223053892215567,133600.0,0.6397779441117765
30s,0.7011206566100702,0.6153989697075938,0.8145883233532935,133600.0,0.6397779441117765
macro avg,0.6233530619877947,0.6304831973426398,0.6397779441117765,400800.0,0.6397779441117765
micro avg,0.6397779441117765,0.6397779441117765,0.6397779441117765,400800.0,0.6397779441117765
weighted avg,0.6233530619877946,0.6304831973426398,0.6397779441117765,400800.0,0.6397779441117765
