,f1-score,precision,recall,support,roc,accuracy
a18-20,0.6375838926174497,0.6462585034013606,0.6291390728476821,151.0,0.7902279965623579,0.5883777239709443
a23-25,0.5460317460317461,0.5180722891566265,0.5771812080536913,149.0,0.6917327638804148,0.5883777239709443
a28-61,0.5821596244131455,0.62,0.5486725663716814,113.0,0.8316519174041297,0.5883777239709443
micro avg,0.5883777239709443,0.5883777239709443,0.5883777239709443,413.0,0.7730230726172715,0.5883777239709443
macro avg,0.5885917543541138,0.5947769308526624,0.5849976157576849,413.0,0.7730230726172715,0.5883777239709443
weighted avg,0.5893896743405581,0.5928276152492562,0.5883777239709443,413.0,0.7730230726172715,0.5883777239709443
