,f1-score,precision,recall,support,accuracy
macro avg,0.2902182260576438,0.303344348164138,0.30303030303030304,396.0,0.30303030303030304
micro avg,0.30303030303030304,0.30303030303030304,0.30303030303030304,396.0,0.30303030303030304
p12,0.3668639053254438,0.30097087378640774,0.4696969696969697,132.0,0.30303030303030304
p3,0.21463414634146344,0.3013698630136986,0.16666666666666666,132.0,0.30303030303030304
p45,0.2891566265060241,0.3076923076923077,0.2727272727272727,132.0,0.30303030303030304
weighted avg,0.29021822605764375,0.303344348164138,0.30303030303030304,396.0,0.30303030303030304
