,f1-score,precision,recall,support,accuracy
e01,0.5472866301497742,0.5337671379605827,0.5615087748950675,35499.0,0.4728865601847939
e2,0.4152830786612839,0.40644047683262313,0.42451900053522634,35499.0,0.4728865601847939
e34,0.45455352650427683,0.47881527669524554,0.432631905124088,35499.0,0.4728865601847939
macro avg,0.4723744117717783,0.4730076304961505,0.47288656018479386,106497.0,0.4728865601847939
micro avg,0.4728865601847939,0.4728865601847939,0.4728865601847939,106497.0,0.4728865601847939
weighted avg,0.47237441177177836,0.47300763049615047,0.4728865601847939,106497.0,0.4728865601847939
