,f1-score,precision,recall,support,accuracy
female,0.6274437763631097,0.538970418654334,0.7506677937447168,118300.0,0.5542772612003382
macro avg,0.5363964229833262,0.5641785300388078,0.5542772612003382,236600.0,0.5542772612003382
male,0.4453490696035428,0.5893866414232815,0.35788672865595944,118300.0,0.5542772612003382
micro avg,0.5542772612003382,0.5542772612003382,0.5542772612003382,236600.0,0.5542772612003382
weighted avg,0.5363964229833262,0.5641785300388078,0.5542772612003382,236600.0,0.5542772612003382
