,f1-score,precision,recall,support,accuracy
16-20,0.6882572347266881,0.6343892261001517,0.7521223365379209,17787.0,0.6515807424898334
35-60,0.6585480093676815,0.6869846698833445,0.6323719570472818,17787.0,0.6515807424898334
a21-30,0.6021907560780124,0.6379245283018868,0.5702479338842975,17787.0,0.6515807424898334
micro avg,0.6515807424898334,0.6515807424898334,0.6515807424898334,53361.0,0.6515807424898334
macro avg,0.649665333390794,0.6530994747617943,0.6515807424898333,53361.0,0.6515807424898334
weighted avg,0.6496653333907941,0.6530994747617943,0.6515807424898334,53361.0,0.6515807424898334
