,f1-score,precision,recall,support,roc,accuracy
F,0.5181347150259067,0.6756756756756757,0.42016806722689076,119.0,0.24916374316716977,0.7138461538461538
M,0.7964989059080964,0.7250996015936255,0.883495145631068,206.0,0.7508362568328302,0.7138461538461538
micro avg,0.7138461538461538,0.7138461538461538,0.7138461538461538,325.0,0.5049869462348047,0.7138461538461538
macro avg,0.6573168104670015,0.7003876386346506,0.6518316064289794,325.0,0.5049869462348047,0.7138461538461538
weighted avg,0.6945747867850792,0.7070028410267455,0.7138461538461538,325.0,0.5049869462348047,0.7138461538461538
