,f1-score,precision,recall,support,accuracy
Básico,0.21702127659574466,0.5425531914893617,0.1356382978723404,376.0,0.36103723404255317
Pós-graduado,0.45925925925925926,0.42857142857142855,0.4946808510638298,376.0,0.36103723404255317
Superior Completo,0.40716612377850164,0.2934272300469484,0.6648936170212766,376.0,0.36103723404255317
Superior Incompleto,0.22400000000000003,0.45161290322580644,0.14893617021276595,376.0,0.36103723404255317
macro avg,0.32686166490837637,0.4290411883333862,0.36103723404255317,1504.0,0.36103723404255317
micro avg,0.36103723404255317,0.36103723404255317,0.36103723404255317,1504.0,0.36103723404255317
weighted avg,0.32686166490837637,0.4290411883333863,0.36103723404255317,1504.0,0.36103723404255317
