,f1-score,precision,recall,support,accuracy
capital,0.5705096251987942,0.5947785201682751,0.5481435869366904,43848.0,0.587347199416165
interior,0.6029143897996356,0.5809964894471936,0.6265508118956394,43848.0,0.587347199416165
macro avg,0.5867120074992149,0.5878875048077343,0.587347199416165,87696.0,0.587347199416165
micro avg,0.587347199416165,0.587347199416165,0.587347199416165,87696.0,0.587347199416165
weighted avg,0.5867120074992148,0.5878875048077344,0.587347199416165,87696.0,0.587347199416165
