,f1-score,precision,recall,support,accuracy
a0-23,0.32799999999999996,0.3333333333333333,0.3228346456692913,127.0,0.3648293963254593
a24-30,0.4,0.35119047619047616,0.4645669291338583,127.0,0.3648293963254593
a31-99,0.359447004608295,0.43333333333333335,0.30708661417322836,127.0,0.3648293963254593
micro avg,0.3648293963254593,0.3648293963254593,0.3648293963254593,381.0,0.3648293963254593
macro avg,0.36248233486943165,0.3726190476190476,0.36482939632545924,381.0,0.3648293963254593
weighted avg,0.36248233486943165,0.37261904761904757,0.3648293963254593,381.0,0.3648293963254593
