,f1-score,precision,recall,support,accuracy
macro avg,0.35376618284993905,0.35704652062239056,0.3566281848714142,346.0,0.36416184971098264
micro avg,0.3641618497109826,0.36416184971098264,0.36416184971098264,346.0,0.36416184971098264
s012,0.4452296819787986,0.4090909090909091,0.4883720930232558,129.0,0.36416184971098264
s3,0.29411764705882354,0.2912621359223301,0.297029702970297,101.0,0.36416184971098264
s4,0.3219512195121951,0.3707865168539326,0.28448275862068967,116.0,0.36416184971098264
weighted avg,0.3597885918832972,0.36185386981485196,0.36416184971098264,346.0,0.36416184971098264
