,f1-score,precision,recall,support,accuracy
Acadêmico,0.0,0.0,0.0,21720.0,0.2274924178426512
CLT,0.3706620334852656,0.2274924178426512,1.0,16427.0,0.2274924178426512
Empreendedor,0.0,0.0,0.0,11331.0,0.2274924178426512
Servidor público,0.0,0.0,0.0,22731.0,0.2274924178426512
micro avg,0.2274924178426512,0.2274924178426512,0.2274924178426512,72209.0,0.2274924178426512
macro avg,0.0926655083713164,0.0568731044606628,0.25,72209.0,0.2274924178426512
weighted avg,0.08432280220003681,0.051752800175895404,0.2274924178426512,72209.0,0.2274924178426512
