,f1-score,precision,recall,support,accuracy
10s,0.7956910560356425,0.7346342626631958,0.8678169014084507,42600.0,0.6783255086071988
20s,0.7057175573367723,0.6703131929631898,0.7450704225352113,42600.0,0.6783255086071988
30s,0.4944861535076864,0.5968598552745137,0.42208920187793425,42600.0,0.6783255086071988
micro avg,0.6783255086071988,0.6783255086071988,0.6783255086071988,127800.0,0.6783255086071988
macro avg,0.6652982556267003,0.667269103633633,0.6783255086071986,127800.0,0.6783255086071988
weighted avg,0.6652982556267004,0.667269103633633,0.6783255086071988,127800.0,0.6783255086071988
