v,tunning,n,dataset,task,params,acc,f1,cm,embeddings,lang,loss,val_loss
_grid,3 channels,0.0,brblogset,gender,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 3444, 'max_num_words': 1000, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'n_classes': 2}",0.6409395973154363,0.6370114864018761,"[[320 276]
 [152 444]]",nilc-fasttext-100dim,pt,0.5881691492404868,0.6267478285590187
_grid,3 channels,1.0,brblogset,gender,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 3407, 'max_num_words': 148873, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'n_classes': 2}",0.6942622950819672,0.6939166042809705,"[[403 207]
 [166 444]]",nilc-fasttext-100dim,pt,0.4645456703828417,0.5732995881268415
_grid,3 channels,2.0,brblogset,gender,"{'features_maps': [40], 'kernel_size': [3], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 3349, 'max_num_words': 1000, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'n_classes': 2}",0.7124789207419899,0.7120643954630987,"[[445 148]
 [193 400]]",nilc-fasttext-100dim,pt,0.5496613647272525,0.6313815073035229
_grid,3 channels,3.0,brblogset,gender,"{'features_maps': [40], 'kernel_size': [3], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 3503, 'max_num_words': 118937, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'n_classes': 2}",0.6926298157453936,0.6836652264778178,"[[514  83]
 [284 313]]",nilc-fasttext-100dim,pt,0.44022370761707696,0.6045820338986879
_grid,3 channels,4.0,brblogset,gender,"{'features_maps': [10], 'kernel_size': [7], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 3304, 'max_num_words': 1000, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'n_classes': 2}",0.5874799357945425,0.5373904953424404,"[[161 462]
 [ 52 571]]",nilc-fasttext-100dim,pt,0.6325194810753831,0.6370846403367592
_grid,3 channels,5.0,brblogset,gender,"{'features_maps': [10], 'kernel_size': [7], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 3352, 'max_num_words': 133652, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'n_classes': 2}",0.6669463087248322,0.6664277079346282,"[[374 222]
 [175 421]]",nilc-fasttext-100dim,pt,0.5808893941297141,0.6326247370243072
_grid,3 channels,6.0,brblogset,gender,"{'features_maps': [40], 'kernel_size': [7], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 3248, 'max_num_words': 1000, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'n_classes': 2}",0.6887931034482758,0.6862222055710621,"[[347 233]
 [128 452]]",nilc-fasttext-100dim,pt,0.8317866411160006,0.7100427600923205
_grid,3 channels,7.0,brblogset,gender,"{'features_maps': [40], 'kernel_size': [7], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 3806, 'max_num_words': 114631, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'n_classes': 2}",0.5707964601769911,0.5642023284421892,"[[253 312]
 [173 392]]",nilc-fasttext-100dim,pt,0.6865274887720565,0.6746230157970012
_grid,3 channels,8.0,brblogset,gender,"{'features_maps': [10, 10], 'kernel_size': [3, 4], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 3182, 'max_num_words': 1000, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'n_classes': 2}",0.6982456140350877,0.6980076637794014,"[[414 156]
 [188 382]]",nilc-fasttext-100dim,pt,0.6389996800955167,0.6348578795105562
_grid,3 channels,9.0,brblogset,gender,"{'features_maps': [10, 10], 'kernel_size': [3, 4], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 3927, 'max_num_words': 122179, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'n_classes': 2}",0.6477462437395659,0.6476667038358609,"[[379 220]
 [202 397]]",nilc-fasttext-100dim,pt,0.5140297743140232,0.5955222379071293
_grid,3 channels,10.0,brblogset,gender,"{'features_maps': [40, 40], 'kernel_size': [3, 4], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 3504, 'max_num_words': 1000, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'n_classes': 2}",0.7253756260434057,0.723986137051035,"[[477 122]
 [207 392]]",nilc-fasttext-100dim,pt,0.4127456595472621,0.4950238514691592
_grid,3 channels,11.0,brblogset,gender,"{'features_maps': [40, 40], 'kernel_size': [3, 4], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 4037, 'max_num_words': 129417, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'n_classes': 2}",0.6089527027027027,0.5945706283507393,"[[472 120]
 [343 249]]",nilc-fasttext-100dim,pt,0.9300497368639667,0.6875976605929042
_grid,3 channels,12.0,brblogset,gender,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 3348, 'max_num_words': 1000, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'n_classes': 2}",0.62751677852349,0.6274905614162521,"[[379 217]
 [227 369]]",nilc-fasttext-100dim,pt,0.7936621172430481,0.7082550310662814
_grid,3 channels,0.0,brblogset,age,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1, 1, 1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 3325, 'max_num_words': 1000, 'dense_units': [128], 'optimizer': None, 'pool_size': [3, 3, 3], 'n_classes': 3}",0.3523573200992556,0.2699216459676989,"[[124   0 279]
 [102   0 301]
 [101   0 302]]",nilc-fasttext-100dim,pt,1.1023432361840766,1.0998289947416269
