,f1-score,precision,recall,support,accuracy
capital,0.6393733776583633,0.6383559152496135,0.6403940886699507,43848.0,0.6387976646597336
interior,0.6382201105578144,0.6392422439827949,0.6372012406495166,43848.0,0.6387976646597336
micro avg,0.6387976646597336,0.6387976646597336,0.6387976646597336,87696.0,0.6387976646597336
macro avg,0.6387967441080888,0.6387990796162042,0.6387976646597336,87696.0,0.6387976646597336
weighted avg,0.6387967441080888,0.6387990796162042,0.6387976646597336,87696.0,0.6387976646597336
