,f1-score,precision,recall,support,accuracy
r12,0.5252525252525253,0.639344262295082,0.44571428571428573,175.0,0.4685714285714286
r3,0.46620046620046623,0.3937007874015748,0.5714285714285714,175.0,0.4685714285714286
r45,0.41975308641975306,0.4563758389261745,0.38857142857142857,175.0,0.4685714285714286
micro avg,0.4685714285714286,0.4685714285714286,0.4685714285714286,525.0,0.4685714285714286
macro avg,0.47040202595758157,0.49647362954094376,0.4685714285714286,525.0,0.4685714285714286
weighted avg,0.47040202595758157,0.49647362954094376,0.4685714285714286,525.0,0.4685714285714286
