,f1-score,precision,recall,support,roc,accuracy
no,0.7779111644657865,0.7313769751693002,0.8307692307692308,390.0,0.22920336660794677,0.7162576687116564
yes,0.6072186836518046,0.6842105263157895,0.5458015267175572,262.0,0.7707966333920533,0.7162576687116564
micro avg,0.7162576687116564,0.7162576687116564,0.7162576687116564,652.0,0.5020845566647093,0.7162576687116564
macro avg,0.6925649240587956,0.7077937507425449,0.688285378743394,652.0,0.5020845566647093,0.7162576687116564
weighted avg,0.7093200142000453,0.7124235862128281,0.7162576687116564,652.0,0.5020845566647093,0.7162576687116564
