,f1-score,precision,recall,support,roc,accuracy
Básico,0.5053993791806933,0.5353834753612449,0.4785956777345367,24154.0,0.7675936653500126,0.5131540146600387
Pós-graduado,0.5016320219893489,0.5495125898603636,0.46142663000537276,31641.0,0.7207211443892558,0.5131540146600387
Superior completo,0.5250849350770234,0.4822508602081597,0.5762698878872232,39157.0,0.6046954294254322,0.5131540146600387
micro avg,0.5131540146600387,0.5131540146600387,0.5131540146600387,94952.0,0.6976780660727908,0.5131540146600387
macro avg,0.5107054454156885,0.5223823084765894,0.5054307318757109,94952.0,0.6976780660727908,0.5131540146600387
weighted avg,0.5122620504603005,0.5181805254530518,0.5131540146600387,94952.0,0.6976780660727908,0.5131540146600387
