,f1-score,precision,recall,support,accuracy
e1,0.6252210500640283,0.6310315115706548,0.6195166163141994,16550.0,0.5797381671701913
e2,0.4894504340304594,0.5007268819922888,0.47867069486404834,16550.0,0.5797381671701913
e3,0.6216635902844921,0.6034355269893635,0.6410271903323262,16550.0,0.5797381671701913
micro avg,0.5797381671701913,0.5797381671701913,0.5797381671701913,49650.0,0.5797381671701913
macro avg,0.5787783581263266,0.5783979735174357,0.5797381671701913,49650.0,0.5797381671701913
weighted avg,0.5787783581263266,0.5783979735174357,0.5797381671701913,49650.0,0.5797381671701913
