,f1-score,precision,recall,support,accuracy
female,0.5961619127516778,0.6418651913740544,0.5565345080763583,10215.0,0.7665494665373423
male,0.8358202592087314,0.8123057799875699,0.8607367080827151,22777.0,0.7665494665373423
micro avg,0.7665494665373423,0.7665494665373423,0.7665494665373423,32992.0,0.7665494665373423
macro avg,0.7159910859802046,0.7270854856808122,0.7086356080795366,32992.0,0.7665494665373423
weighted avg,0.7616171187789665,0.7595338773236799,0.7665494665373423,32992.0,0.7665494665373423
