acc,cm,dataset,f1,n,params,task,tunning,v,embeddings,lang,loss,val_loss
0.527550409263326,"[[1578 3431]
 [1302 3707]]",pan13,0.5052035850642449,6.0,"{'epochs': 100, 'max_seq_length': 200, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [7, 8], 'optimizer': None, 'features_maps': [50, 50], 'max_num_words': 1000, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.695848954444995,0.6939701197282323
0.5,"[[   0 5002]
 [   0 5002]]",pan13,0.3333333333333333,7.0,"{'epochs': 100, 'max_seq_length': 413, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [7, 8], 'optimizer': None, 'features_maps': [50, 50], 'max_num_words': 1000, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.7316084323899759,0.6931488513946533
0.5035942492012779,"[[3967 1041]
 [3931 1077]]",pan13,0.458513096641842,8.0,"{'epochs': 100, 'max_seq_length': 200, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [7, 8], 'optimizer': None, 'features_maps': [50, 50], 'max_num_words': 10000, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.6959702988732329,0.6887956384316232
0.5,"[[   0 5052]
 [   0 5052]]",pan13,0.3333333333333333,9.0,"{'epochs': 100, 'max_seq_length': 413, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [7, 8], 'optimizer': None, 'features_maps': [50, 50], 'max_num_words': 10000, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.7252997103672628,0.6931471664216992
0.546327459908929,"[[4175  876]
 [3707 1344]]",pan13,0.5076614988180624,10.0,"{'epochs': 100, 'max_seq_length': 200, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [7, 8], 'optimizer': None, 'features_maps': [50, 50], 'max_num_words': 105421, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.694685189267645,0.684922446118723
0.5,"[[   0 5040]
 [   0 5040]]",pan13,0.3333333333333333,11.0,"{'epochs': 100, 'max_seq_length': 414, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [7, 8], 'optimizer': None, 'features_maps': [50, 50], 'max_num_words': 103963, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.7274894623307404,0.693363764166832
0.5,"[[5049    0]
 [5049    0]]",pan13,0.3333333333333333,12.0,"{'epochs': 100, 'max_seq_length': 200, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [3, 4, 5], 'optimizer': None, 'features_maps': [10, 10, 10], 'max_num_words': 1000, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.6935089500930649,0.6931532025337219
0.5,"[[   0 5022]
 [   0 5022]]",pan13,0.3333333333333333,13.0,"{'epochs': 100, 'max_seq_length': 411, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [3, 4, 5], 'optimizer': None, 'features_maps': [10, 10, 10], 'max_num_words': 1000, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.6932902235313807,0.6931778788566589
0.5,"[[   0 5003]
 [   0 5003]]",pan13,0.3333333333333333,14.0,"{'epochs': 100, 'max_seq_length': 200, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [3, 4, 5], 'optimizer': None, 'features_maps': [10, 10, 10], 'max_num_words': 10000, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.7103962685135818,0.6852286752011325
0.5,"[[   0 5005]
 [   0 5005]]",pan13,0.3333333333333333,15.0,"{'epochs': 100, 'max_seq_length': 412, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [3, 4, 5], 'optimizer': None, 'features_maps': [10, 10, 10], 'max_num_words': 10000, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.6935135436744521,0.6931639909744263
