,0,1,2,3,macro avg,micro avg,weighted avg
f1-score,0.17391304347826086,0.4584717607973422,0.07692307692307691,0.03571428571428571,0.1862555417282414,0.3134920634920635,0.20272701001792434
precision,0.5,0.3039647577092511,0.42857142857142855,0.16666666666666666,0.3498007132368366,0.3134920634920635,0.3561718128269418
recall,0.10526315789473684,0.9324324324324325,0.04225352112676056,0.02,0.2749872778634824,0.3134920634920635,0.3134920634920635
support,57.0,74.0,71.0,50.0,252.0,252.0,252.0
