,f1-score,precision,recall,support,accuracy
p12,0.16326530612244897,0.34285714285714286,0.10714285714285714,112.0,0.36923076923076925
p3,0.5255474452554745,0.3724137931034483,0.8925619834710744,121.0,0.36923076923076925
p45,0.0,0.0,0.0,92.0,0.36923076923076925
micro avg,0.36923076923076925,0.36923076923076925,0.36923076923076925,325.0,0.36923076923076925
macro avg,0.2296042504593078,0.23842364532019703,0.3332349468713105,325.0,0.36923076923076925
weighted avg,0.2519290928050052,0.2568063660477453,0.36923076923076925,325.0,0.36923076923076925
