,f1-score,precision,recall,support,accuracy
female,0.7421133624006154,0.7398363589874712,0.7444044250064317,7774.0,0.7413172112168768
male,0.740516129032258,0.7428164638881698,0.7382299974273219,7774.0,0.7413172112168768
micro avg,0.7413172112168768,0.7413172112168768,0.7413172112168768,15548.0,0.7413172112168768
macro avg,0.7413147457164367,0.7413264114378205,0.7413172112168768,15548.0,0.7413172112168768
weighted avg,0.7413147457164367,0.7413264114378206,0.7413172112168768,15548.0,0.7413172112168768
