,f1-score,precision,recall,support,accuracy
Básico,0.33914421553090335,0.4196078431372549,0.2845744680851064,376.0,0.36436170212765956
Pós-graduado,0.3708399366085579,0.4588235294117647,0.31117021276595747,376.0,0.36436170212765956
Superior Completo,0.3606168446026097,0.32548179871520344,0.40425531914893614,376.0,0.36436170212765956
Superior Incompleto,0.38095238095238093,0.32637571157495254,0.4574468085106383,376.0,0.36436170212765956
macro avg,0.36288834442361295,0.3825722207097939,0.36436170212765956,1504.0,0.36436170212765956
micro avg,0.3643617021276595,0.36436170212765956,0.36436170212765956,1504.0,0.36436170212765956
weighted avg,0.362888344423613,0.38257222070979385,0.36436170212765956,1504.0,0.36436170212765956
