,f1-score,precision,recall,support,accuracy
r0,0.2900763358778626,0.40425531914893614,0.2261904761904762,84.0,0.42196531791907516
r12,0.47129909365558914,0.41711229946524064,0.5416666666666666,144.0,0.42196531791907516
r34,0.4260869565217391,0.4375,0.4152542372881356,118.0,0.42196531791907516
micro avg,0.42196531791907516,0.42196531791907516,0.42196531791907516,346.0,0.42196531791907516
macro avg,0.3958207953517303,0.4196225395380589,0.39437046004842613,346.0,0.42196531791907516
weighted avg,0.41188364904540614,0.42094398246099796,0.42196531791907516,346.0,0.42196531791907516
