,f1-score,precision,recall,support,accuracy
10s,0.5647064706470646,0.604032948224219,0.53018779342723,42600.0,0.5543348982785602
20s,0.5262028739356829,0.5021111442828506,0.5527230046948357,42600.0,0.5543348982785602
30s,0.5739368743758274,0.5679091786551455,0.580093896713615,42600.0,0.5543348982785602
micro avg,0.5543348982785602,0.5543348982785602,0.5543348982785602,127800.0,0.5543348982785602
macro avg,0.5549487396528584,0.5580177570540718,0.5543348982785603,127800.0,0.5543348982785602
weighted avg,0.5549487396528584,0.5580177570540716,0.5543348982785602,127800.0,0.5543348982785602
