,f1-score,precision,recall,support,accuracy
Básico,0.42074074074074075,0.47491638795986624,0.3776595744680851,376.0,0.3776595744680851
Pós-graduado,0.43697478991596633,0.3982494529540481,0.48404255319148937,376.0,0.3776595744680851
Superior Completo,0.3046357615894039,0.3034300791556728,0.3058510638297872,376.0,0.3776595744680851
Superior Incompleto,0.3463087248322148,0.34959349593495936,0.34308510638297873,376.0,0.3776595744680851
macro avg,0.37716500426958144,0.38154735400113665,0.37765957446808507,1504.0,0.3776595744680851
micro avg,0.3776595744680851,0.3776595744680851,0.3776595744680851,1504.0,0.3776595744680851
weighted avg,0.3771650042695815,0.3815473540011366,0.3776595744680851,1504.0,0.3776595744680851
