,f1-score,precision,recall,support
0,0.5064599483204133,0.4279475982532751,0.620253164556962,158.0
1,0.2173913043478261,0.5555555555555556,0.13513513513513514,185.0
2,0.4,0.33640552995391704,0.49324324324324326,148.0
macro avg,0.3746170842227465,0.4399695612542492,0.4162105143117801,491.0
micro avg,0.39918533604887985,0.39918533604887985,0.39918533604887985,491.0
weighted avg,0.36545430374536275,0.4484348609673625,0.39918533604887985,491.0
