,f1-score,precision,recall,support,accuracy
macro avg,0.23519009725906279,0.18169398907103826,0.3333333333333333,244.0,0.5450819672131147
micro avg,0.5450819672131147,0.5450819672131147,0.5450819672131147,244.0,0.5450819672131147
r12,0.7055702917771883,0.5450819672131147,1.0,133.0,0.5450819672131147
r3,0.0,0.0,0.0,90.0,0.5450819672131147
r45,0.0,0.0,0.0,21.0,0.5450819672131147
weighted avg,0.3845936426490412,0.29711435098091915,0.5450819672131147,244.0,0.5450819672131147
