,f1-score,precision,recall,support,accuracy
Básico,0.0,0.0,0.0,246.0,0.29912490055688146
Pós-graduado,0.4605021432945499,0.29912490055688146,1.0,376.0,0.29912490055688146
Superior Completo,0.0,0.0,0.0,375.0,0.29912490055688146
Superior Incompleto,0.0,0.0,0.0,260.0,0.29912490055688146
micro avg,0.29912490055688146,0.29912490055688146,0.29912490055688146,1257.0,0.29912490055688146
macro avg,0.11512553582363748,0.07478122513922036,0.25,1257.0,0.29912490055688146
weighted avg,0.13774765781921303,0.08947570613316422,0.29912490055688146,1257.0,0.29912490055688146
