,f1-score,precision,recall,support,roc,accuracy
F,0.5490196078431372,0.6588235294117647,0.47058823529411764,119.0,0.24928612221587662,0.7169230769230769
M,0.7937219730941704,0.7375,0.8592233009708737,206.0,0.7507138777841234,0.7169230769230769
micro avg,0.7169230769230769,0.7169230769230769,0.7169230769230769,325.0,0.5047217916292731,0.7169230769230769
macro avg,0.6713707904686538,0.6981617647058824,0.6649057681324957,325.0,0.5047217916292731,0.7169230769230769
weighted avg,0.7041232608945613,0.7086923076923077,0.7169230769230769,325.0,0.5047217916292731,0.7169230769230769
