,f1-score,precision,recall,support,accuracy
10s,0.009578212451676187,0.6335877862595419,0.004825581395348837,17200.0,0.622912087912088
20s,0.47878565443503435,0.5898612793693586,0.4029137529137529,85800.0,0.622912087912088
30s,0.7238635852848824,0.6337947397420473,0.8437724550898204,133600.0,0.622912087912088
micro avg,0.622912087912088,0.622912087912088,0.622912087912088,236600.0,0.622912087912088
macro avg,0.404075817390531,0.6190812684569825,0.41717059646630733,236600.0,0.622912087912088
weighted avg,0.5830630997411457,0.6178477807400364,0.622912087912088,236600.0,0.622912087912088
