,f1-score,precision,recall,support
0,0.5333333333333333,0.6666666666666666,0.4444444444444444,108.0
1,0.5625,0.47368421052631576,0.6923076923076923,78.0
macro avg,0.5479166666666666,0.5701754385964912,0.5683760683760684,186.0
micro avg,0.5483870967741935,0.5483870967741935,0.5483870967741935,186.0
weighted avg,0.5455645161290322,0.5857385398981324,0.5483870967741935,186.0
