,f1-score,precision,recall,support,accuracy
female,0.5058670143415905,0.6423841059602649,0.4172043010752688,465.0,0.5349693251533743
macro avg,0.5333506566493584,0.5570594993738947,0.5543164362519201,815.0,0.5349693251533743
male,0.5608342989571262,0.47173489278752434,0.6914285714285714,350.0,0.5349693251533743
micro avg,0.5349693251533743,0.5349693251533743,0.5349693251533743,815.0,0.5349693251533743
weighted avg,0.5294725966918206,0.5690991677879222,0.5349693251533743,815.0,0.5349693251533743
