,f1-score,precision,recall,support,accuracy
macro avg,0.28955539872971064,0.3146504493467067,0.33904761904761904,525.0,0.33904761904761904
micro avg,0.33904761904761904,0.33904761904761904,0.33904761904761904,525.0,0.33904761904761904
r12,0.44999999999999996,0.3391304347826087,0.6685714285714286,175.0,0.33904761904761904
r3,0.09174311926605504,0.23255813953488372,0.05714285714285714,175.0,0.33904761904761904
r45,0.32692307692307687,0.3722627737226277,0.2914285714285714,175.0,0.33904761904761904
weighted avg,0.28955539872971064,0.3146504493467067,0.33904761904761904,525.0,0.33904761904761904
