,f1-score,precision,recall,support,accuracy
a0-23,0.4552845528455285,0.34710743801652894,0.6614173228346457,127.0,0.3858267716535433
a24-30,0.29767441860465116,0.36363636363636365,0.25196850393700787,127.0,0.3858267716535433
a31-99,0.348314606741573,0.6078431372549019,0.2440944881889764,127.0,0.3858267716535433
macro avg,0.3670911927305842,0.43952897963593146,0.38582677165354334,381.0,0.3858267716535433
micro avg,0.3858267716535433,0.3858267716535433,0.3858267716535433,381.0,0.3858267716535433
weighted avg,0.3670911927305842,0.43952897963593146,0.3858267716535433,381.0,0.3858267716535433
