,f1-score,precision,recall,support,accuracy
female,0.6565624157800849,0.6399639738810637,0.6740447957839262,37950.0,0.6474176548089592
male,0.6377725740738234,0.6557098722480448,0.6207905138339921,37950.0,0.6474176548089592
micro avg,0.6474176548089592,0.6474176548089592,0.6474176548089592,75900.0,0.6474176548089592
macro avg,0.6471674949269541,0.6478369230645542,0.6474176548089592,75900.0,0.6474176548089592
weighted avg,0.6471674949269541,0.6478369230645542,0.6474176548089592,75900.0,0.6474176548089592
