,f1-score,precision,recall,support,accuracy
10s,0.0,0.0,0.0,17200.0,0.6208664412510566
20s,0.46056546011165134,0.6029042904290429,0.3725990675990676,85800.0,0.6208664412510566
30s,0.7246977220777174,0.6260547460166145,0.8602395209580839,133600.0,0.6208664412510566
macro avg,0.3950877273964563,0.40965301214855243,0.4109461961857172,236600.0,0.6208664412510566
micro avg,0.6208664412510566,0.6208664412510566,0.6208664412510566,236600.0,0.6208664412510566
weighted avg,0.576230482447856,0.5721475155817057,0.6208664412510566,236600.0,0.6208664412510566
