,f1-score,precision,recall,support,accuracy
Básico,0.36206896551724144,0.3853211009174312,0.34146341463414637,246.0,0.35958631662688945
Pós-graduado,0.43799472295514513,0.43455497382198954,0.44148936170212766,376.0,0.35958631662688945
Superior Completo,0.3329032258064516,0.3225,0.344,375.0,0.35958631662688945
Superior Incompleto,0.28239845261121854,0.2840466926070039,0.28076923076923077,260.0,0.35958631662688945
micro avg,0.3595863166268894,0.35958631662688945,0.35958631662688945,1257.0,0.35958631662688945
macro avg,0.35384134172251414,0.3566056918366062,0.3519305017763762,1257.0,0.35958631662688945
weighted avg,0.3596000705685856,0.3603590302788999,0.35958631662688945,1257.0,0.35958631662688945
