,f1-score,precision,recall,support,accuracy
female,0.5305645251085624,0.7248802008062676,0.4184045308864205,22777.0,0.6298019932387935
macro avg,0.6124843501158932,0.6580552452792408,0.6298019932387935,45554.0,0.6298019932387935
male,0.694404175123224,0.591230289752214,0.8411994555911665,22777.0,0.6298019932387935
micro avg,0.6298019932387935,0.6298019932387935,0.6298019932387935,45554.0,0.6298019932387935
weighted avg,0.6124843501158933,0.6580552452792409,0.6298019932387935,45554.0,0.6298019932387935
