,f1-score,precision,recall,support,accuracy
a18-20,0.41711229946524064,0.34977578475336324,0.5165562913907285,151.0,0.3487858719646799
a23-25,0.2424242424242424,0.5106382978723404,0.15894039735099338,151.0,0.3487858719646799
a28-61,0.33532934131736525,0.30601092896174864,0.3708609271523179,151.0,0.3487858719646799
macro avg,0.3316219610689494,0.38880833719581737,0.3487858719646799,453.0,0.3487858719646799
micro avg,0.3487858719646799,0.3487858719646799,0.3487858719646799,453.0,0.3487858719646799
weighted avg,0.3316219610689495,0.3888083371958174,0.3487858719646799,453.0,0.3487858719646799
